RunID,Lg_nm,Wns_nm,Tns_nm,Weff_um,Vth_lin_V,Vth_sat_V,SS_mVdec,DIBL_mV_V,Ion_mA_um,Ioff_pA_um,logIoff,gm_max_mS_um,gds_mS_um,Cgg_fF_um,Pleak_pW_um,tau_int_ps,logIonIoff,convergence_flag,calibrated_wf_eV
G_L10_W15_T04,10.0,15.0,4.0,0.114,0.2588,,67.45,,0.22,2596.867,3.414,1.641,0.082,1.2,1817.807,3.827,2.26,PARTIAL_LINEAR,4.58
G_L12_W15_T04,12.0,15.0,4.0,0.114,0.26,,65.63,,0.223,1806.431,3.257,1.569,0.078,1.44,1264.502,4.522,2.35,PARTIAL_LINEAR,4.58
G_L14_W15_T04,14.0,15.0,4.0,0.114,0.2638,,66.51,,0.21,1730.646,3.238,1.564,0.078,1.68,1211.452,5.606,2.38,PARTIAL_LINEAR,4.58
G_L16_W15_T04,16.0,15.0,4.0,0.114,0.2625,,65.52,,0.166,1439.525,3.158,1.466,0.073,1.92,1007.668,8.081,2.32,PARTIAL_LINEAR,4.58
